cycle,train_size,fe_mae,fe_mse,fe_rmse,fe_r2,bg_mae,bg_mse,bg_rmse,bg_r2
0,200,1.2035726308822632,4.238736152648926,2.058819116058748,-3.3943066596984863,1.4112497568130493,5.607381820678711,2.3679910938765607,-4.558948516845703
1,300,0.8958066701889038,2.2669551372528076,1.5056411050621619,-1.3501570224761963,1.1809906959533691,5.213561534881592,2.2833224771988716,-4.168529987335205
2,400,0.7827782034873962,1.148654818534851,1.0717531518660681,-0.1908128261566162,1.0249760150909424,2.0929887294769287,1.4467165339059787,-1.0749108791351318
3,500,0.9255242943763733,1.6121814250946045,1.269717064977314,-0.6713517904281616,1.0424964427947998,1.8807345628738403,1.3713987614380583,-0.8644900321960449
4,600,0.7847237586975098,1.6677851676940918,1.2914275696662558,-0.7289962768554688,0.9965128898620605,1.609325885772705,1.2685920880143882,-0.5954256057739258
5,700,0.7014412879943848,0.8491284251213074,0.9214816466546186,0.11970680952072144,0.946719229221344,1.405141830444336,1.1853867851652202,-0.3930051326751709
6,800,0.7393213510513306,1.0696161985397339,1.0342225092018322,-0.10887336730957031,1.2230477333068848,3.1750054359436035,1.7818544934824514,-2.1475815773010254
7,900,0.5892393589019775,0.688537061214447,0.8297813333731044,0.28619223833084106,0.9180799126625061,1.2741451263427734,1.1287803711718118,-0.26313984394073486
8,1000,0.6587817668914795,0.7174432873725891,0.8470202402378524,0.256225049495697,0.92802894115448,1.4272195100784302,1.1946629273893243,-0.4148920774459839
9,1100,0.5792036652565002,0.6294326186180115,0.7933678961352113,0.3474659323692322,0.9222819805145264,1.3517354726791382,1.1626415925293307,-0.3400599956512451
10,1200,0.5838311910629272,0.538874626159668,0.7340808035629783,0.44134753942489624,0.9123072624206543,1.2786946296691895,1.1307938051073632,-0.2676500082015991
